speaker,speaker's job title,state,party,true counts,mostly true counts,half true counts,mostly false counts,false counts,pants on fire counts,count
Gene Mcintyre,,,None,0,0,1,0,0,0,1
Gene Green,,Texas,Democrat,0,1,0,0,0,0,1
Gen. Peter Chiarelli,,,None,1,0,0,0,0,0,1
Gayle Atteberry,,,Activist,0,0,0,1,0,0,1
Gaydonna Vandergriff,,,Republican,0,0,0,0,1,0,1
Gary Schaer,,New Jersey,Democrat,1,0,0,0,0,0,1
Gary Painter,,Texas,Republican,0,0,0,0,0,1,1
Gary Lambert,,New Hampshire,Republican,0,0,0,0,0,1,1
Gary George,Former Candidate for Governor,Wisconsin,Democrat,0,0,1,0,0,0,1
Gary Farmer,,,Democrat,0,1,0,0,0,0,1
Gary Cobb,,Texas,Democrat,0,0,0,1,0,0,1
Garlin Gilchrist,,,Democrat,0,1,0,0,0,0,1
Garland Tucker,,,Republican,0,0,0,1,0,0,1
Gail Buckner,,Georgia,Democrat,1,0,0,0,0,0,1
Funny Or Die,,,None,0,1,0,0,0,0,1
Fulton County Government,,,None,1,0,0,0,0,0,1
Friends Of Voter Owned Elections,,,None,0,0,0,1,0,0,1
Friends Of Plum Beach Lighthouse,,,Organization,0,0,0,1,0,0,1
Friends Of Miami First,,,None,0,0,1,0,0,0,1
Friends Of India Point Park,,,Organization,0,0,1,0,0,0,1
Friends Of Greenlight,,,None,0,0,0,1,0,0,1
Friends Of Democracy,,,None,0,0,0,1,0,0,1
Friends Of Clearwater Pac,,,None,0,0,0,0,1,0,1
Freshmedianews.Com,,,None,0,0,0,0,1,0,1
Fresh Start Pa,,,Democrat,0,1,0,0,0,0,1
Freedomworks,,,Organization,0,0,0,1,0,0,1
Freedom Pac,,,Republican,0,0,1,0,0,0,1
Freedom From Religion Foundation,,,Organization,0,0,1,0,0,0,1
Freedom Defense Advocates,,,None,0,0,0,0,0,1,1
Freedom And Responsibility Pac,,,Organization,0,0,0,1,0,0,1
Free Market Florida,,Florida,None,0,1,0,0,0,0,1
Fred Smith,,,None,0,1,0,0,0,0,1
Fred Risser,,Wisconsin,Democrat,0,0,0,0,1,0,1
Fred Karger,,California,Republican,0,0,0,0,0,1,1
Franklin Sands,,Florida,Democrat,0,0,1,0,0,0,1
Frank White,,,Republican,0,0,0,0,1,0,1
Frank Pallone,,,Democrat,0,0,0,0,1,0,1
Frank Ortis,,Florida,Democrat,0,0,0,1,0,0,1
Frank Niceley,,Tennessee,Republican,0,0,0,0,0,1,1
Frank Luntz,,Unknown,Republican,0,0,1,0,0,0,1
Frank Lobiondo,,,Republican,0,0,0,0,1,0,1
Frank Keating,,Oklahoma,Republican,0,0,0,0,1,0,1
Frank Fahrenkopf,,,Republican,0,0,0,1,0,0,1
Frank Brogan,,Florida,Republican,0,0,1,0,0,0,1
Frank Annunziato,,Rhode Island,Labor leader,0,0,1,0,0,0,1
"Francisco ""Quico"" Canseco",,,Republican,0,0,1,0,0,0,1
Fran Millar,,Georgia,Republican,0,0,1,0,0,0,1
Fran Lebowitz,,New York,Democrat,0,0,0,0,1,0,1
Foundation For A Secure And Prosperous America,,,Republican,0,0,0,1,0,0,1
Forecast The Facts,,,Organization,0,0,0,0,1,0,1
Forbes Blog,,,None,0,0,1,0,0,0,1
For Our Future Pac,,,None,0,0,1,0,0,0,1
For Our Future Florida,,,None,0,0,0,1,0,0,1
For Our Daughters Ri,,,Organization,0,0,0,0,0,1,1
Foodmentum,,,None,0,1,0,0,0,0,1
Food & Water Watch,,,Organization,0,1,0,0,0,0,1
Floridians For Solar Choice,,,None,0,1,0,0,0,0,1
Florida Wildlife Federation,,Florida,None,1,0,0,0,0,0,1
Florida Students For Concealed Carry,,,Organization,0,0,0,1,0,0,1
Florida Strong,,,None,0,0,0,1,0,0,1
Florida Police Benevolent Association,,Florida, None,0,0,0,1,0,0,1
Florida News Flash,,,None,0,0,0,1,0,0,1
Florida Immigrant Coalition,,,None,0,1,0,0,0,0,1
Florida House Majority Office,,,Republican,0,0,0,1,0,0,1
Florida Hometown Democracy,,Florida,None,0,0,1,0,0,0,1
Florida For All,,,Democrat,0,0,0,1,0,0,1
Florida First Project,,Florida,Republican,0,1,0,0,0,0,1
Florida Department Of Corrections Worker,,,None,0,1,0,0,0,0,1
Florida Democratic Legislative Campaign Committee,,,Democrat,0,0,0,1,0,0,1
Florida Consumer Action Network,,Florida,None,0,1,0,0,0,0,1
Florida Conservation Alliance,,Florida,None,0,0,1,0,0,0,1
Florida Badass Teachers Association,,Florida,None,0,0,0,0,1,0,1
Florida Agency For Health Care Administration,,,None,0,0,1,0,0,0,1
Flash 24 Daily,,,None,0,0,0,0,0,1,1
Fix Austin Schools,,,None,0,1,0,0,0,0,1
Firearms Policy Coalition,,California ,Organization,0,0,0,1,0,0,1
Fighting For Ohio Pac,,,Republican,0,0,0,0,1,0,1
Fidelis,,,None,0,1,0,0,0,0,1
Feministing,,,None,0,0,0,0,0,1,1
Fellowship Of The Minds,,,None,0,0,0,0,0,1,1
Federal Transit Administration,,,None,0,0,0,0,0,1,1
Fareed Zakaria,,,None,1,0,0,0,0,0,1
Family Forward Oregon,,,Organization,0,1,0,0,0,0,1
Fair Districts Florida,,Florida,Organization,1,0,0,0,0,0,1
Fact Check Florida,,Florida,Democrat,0,0,0,0,0,1,1
Everyday Devotional,,,None,0,0,0,0,0,1,1
Evening World,,,None,0,0,0,0,0,1,1
Evelyn Sanguinetti,,,Republican,0,0,0,0,1,0,1
Eve Schatelowitz Alcantar,,Texas,Democrat,0,0,0,0,1,0,1
Evan Smith,,,None,0,0,0,0,1,0,1
Evan Longoria,,Florida,None,0,0,0,0,0,1,1
Evan Feinberg,,"Washington, D.C.",Activist,0,0,0,0,1,0,1
Evan Bayh,,Indiana,Democrat,1,0,0,0,0,0,1
Eva Marie Mancuso,,Rhode Island,State official,0,0,1,0,0,0,1
Eva Galambos,,,None,0,0,0,0,1,0,1
Eugene Yu,,Georgia,Republican,0,1,0,0,0,0,1
Eugene Sepulveda,,Texas,Democrat,0,0,0,0,0,1,1
Eugene Depasquale,,,Democrat,0,1,0,0,0,0,1
Esquire Magazine,,,None,1,0,0,0,0,0,1
Espn,,,None,0,1,0,0,0,0,1
Ertharin Cousin,,,None,0,0,1,0,0,0,1
Ernest Moniz,,Massachusetts,Democrat,0,1,0,0,0,0,1
Erin Lynch,,Rhode Island,Democrat,0,0,0,1,0,0,1
Erin Forrest,,,Democrat,1,0,0,0,0,0,1
Erin Burnett,,,None,0,0,0,0,1,0,1
Erika Sanzi,,Rhode Island,Activist,0,1,0,0,0,0,1
Erika Harold,,,Republican,0,0,0,1,0,0,1
Erik Paulsen,,,Republican,0,0,0,0,1,0,1
Eric Turner,,Indiana,Business leader,0,0,0,0,0,1,1
Eric Schmitt,,,Republican,0,1,0,0,0,0,1
Eric Kearney,,Ohio,Democrat,1,0,0,0,0,0,1
Eric Holcomb,,,Republican,1,0,0,0,0,0,1
Eric Gray,,Georgia,Democrat,0,1,0,0,0,0,1
Eric Fehrnstrom,,Massachusetts,Republican,0,0,1,0,0,0,1
Eric Esshaki,,,Republican,0,0,0,1,0,0,1
Eric Eisnaugle,,Florida,Republican,0,0,0,0,1,0,1
Equity Forward,,,Organization,0,0,0,1,0,0,1
Environmental Protection Agency,,,None,0,0,1,0,0,0,1
Environmental Justice League Of R.I,,,None,0,0,1,0,0,0,1
Environmental Defense Fund Action,,,None,0,1,0,0,0,0,1
Environment New Jersey,,New Jersey,None,0,0,0,1,0,0,1
"Enough Already Wisconsin, Inc.",,,None,0,0,0,0,1,0,1
Energy Transfer,,,Business leader,1,0,0,0,0,0,1
End Citizens United,,,Organization,0,0,1,0,0,0,1
Empowered Georgia,,,None,0,0,1,0,0,0,1
Empiresports.Co,,,None,0,0,0,0,0,1,1
Emma Darnell,,Georgia,Democrat,0,0,0,0,1,0,1
Emil Runge,,,Democrat,0,0,1,0,0,0,1
Emails,,,None,0,0,0,0,0,1,1
Elton John,,Atlanta,None,0,1,0,0,0,0,1
Ellen Qualls,,,Democrat,0,0,1,0,0,0,1
Ellen Freidin,,Florida,Newsmaker,0,1,0,0,0,0,1
Elizabeth Foley,,,None,0,0,0,1,0,0,1
Elizabeth Dennigan,,Rhode Island,Democrat,0,1,0,0,0,0,1
Elizabeth Colbert Busch,,South Carolina,Democrat,0,0,1,0,0,0,1
Elizabeth Cohen,,,Journalist,1,0,0,0,0,0,1
Elizabeth Ames Jones,,Texas,Republican,0,0,0,1,0,0,1
Elisabeth Hasselbeck,,,None,0,0,0,0,1,0,1
Elena Kagan,,New York,Democrat,0,0,1,0,0,0,1
Eleanor Holmes Norton,,District of Columbia,Democrat,0,0,1,0,0,0,1
Elaine Phillips,,New York,Republican,1,0,0,0,0,0,1
Einer Elhauge,,Massachusetts,Columnist,0,1,0,0,0,0,1
Efrain De La Fuente,,Texas,Democrat,0,0,1,0,0,0,1
Edwin Pacheco,,Rhode Island,Democrat,0,0,0,0,1,0,1
Edward Snowden,,Russia,Libertarian,0,1,0,0,0,0,1
Edward Lawrence,,,Journalist,0,0,0,0,1,0,1
Edd Houck,,Virginia,Democrat,0,0,0,0,1,0,1
Ed Whitacre,,,None,0,0,1,0,0,0,1
Ed Turanchik,,,None,0,0,1,0,0,0,1
Ed Macdougall,,,Republican,0,0,0,1,0,0,1
Ed Emery,,,Republican,0,0,1,0,0,0,1
Ed Doyle,,Rhode Island,Activist,0,0,0,1,0,0,1
Econorthwest,,,Organization,0,0,0,0,1,0,1
E.J. Finocchio,,,Newsmaker,0,0,0,0,1,0,1
E. Frank Stephenson,,,None,0,0,1,0,0,0,1
D’Banj,,,None,0,0,0,0,1,0,1
Dwight Holton,,,Democrat,0,0,1,0,0,0,1
Duty And Honor,,,Democrat,0,0,1,0,0,0,1
Dustin Inman Society,,Georgia,Organization,0,0,0,1,0,0,1
Duriya Farooqui,,Georgia,None,0,1,0,0,0,0,1
Duffel Blog,,,None,0,0,0,0,0,1,1
Drunk History,,,None,0,0,0,1,0,0,1
Drug Policy Alliance,,Washington D.C.,None,0,0,0,1,0,0,1
Drug Free America,,,None,0,0,0,1,0,0,1
Drew Springer,,, Republican,0,0,0,1,0,0,1
Drew Ferguson,,,Republican,0,0,1,0,0,0,1
Drew Brees,,Louisiana,None,0,0,1,0,0,0,1
Dream Defenders,,Florida,None,0,0,1,0,0,0,1
Dr. Drew Pinsky,,,None,0,0,1,0,0,0,1
Douglas Frank,,,None,0,0,0,0,0,1,1
Doug Thomas,,Oregon,None,0,0,1,0,0,0,1
Doug Stoner,,Georgia,Democrat,0,0,0,1,0,0,1
Doug Pederson,,,Newsmaker,0,0,0,0,1,0,1
Doug Muder,,,Democrat,1,0,0,0,0,0,1
Doug Miller,,Texas,Republican,0,0,0,0,1,0,1
Doug Lamalfa,,,Republican,0,0,1,0,0,0,1
Doug La Follette,,,Democrat,0,0,0,0,1,0,1
Doug Holder,,Florida,Republican,0,0,0,1,0,0,1
Doug Ducey,,Arizona,Republican,0,0,1,0,0,0,1
Dorothy Brown,,,Democrat,0,0,0,1,0,0,1
Doris Kearns Goodwin,,Massachusetts,None,0,0,0,0,1,0,1
Donzella James,,Georgia,Democrat,0,0,0,0,1,0,1
Donny Deutsch,,,None,0,0,1,0,0,0,1
Donna Nesselbush,,Rhode Island,Democrat,0,0,1,0,0,0,1
Donna Garner,,Texas,Republican,0,0,0,0,0,1,1
Donna Edwards,,Maryland,Democrat,0,0,0,0,1,0,1
Donald Verrilli,,,None,0,1,0,0,0,0,1
Donald Rumsfeld,,,Republican,1,0,0,0,0,0,1
Don Young,,Alaska,Republican,0,0,0,0,1,0,1
Don Mcintire,,,Newsmaker,1,0,0,0,0,0,1
Don Huffines,,,Republican,0,0,1,0,0,0,1
Don Francis,,,None,1,0,0,0,0,0,1
Don Bacon,,,Republican,0,0,1,0,0,0,1
Dominic Chavez,,Texas,None,0,1,0,0,0,0,1
Doctors For A Healthy Georgia,,,None,0,0,1,0,0,0,1
Distilled Spirits Council Of The United States,,,Organization,0,1,0,0,0,0,1
Direct Action For Rights & Equality,,,Organization,0,0,0,0,0,1,1
Dino Rossi,,Washington,Republican,0,1,0,0,0,0,1
Dino Baccari,,Rhode Island,Activist,0,1,0,0,0,0,1
Dick Black,,,Republican,0,0,0,0,0,1,1
Diane Savino,,,Democrat,0,0,0,0,1,0,1
Diane Ravitch,,New York,Newsmaker,0,0,0,1,0,0,1
Diane Mckeel,,,None,0,0,1,0,0,0,1
Diane Hurley,,Rhode Island,Business leader,1,0,0,0,0,0,1
Diane Douglas,,,None,0,1,0,0,0,0,1
Diane Black,,Tennessee,Republican,1,0,0,0,0,0,1
Diane Allen,,New Jersey,Republican,0,0,0,0,1,0,1
Devin Lemahieu,,,Republican,1,0,0,0,0,0,1
Desiree Rogers,,,Democrat,1,0,0,0,0,0,1
Derrick Johnson,,,None,0,0,1,0,0,0,1
Derrick Crowe,,,Democrat,1,0,0,0,0,0,1
Derek Ryan,,Texas,Republican,1,0,0,0,0,0,1
Denver Riggleman,,,Republican,1,0,0,0,0,0,1
Dennis Ross,,Florida,Republican,1,0,0,0,0,0,1
Dennis Prager,,,None,0,0,1,0,0,0,1
Dennis Moss,,Florida,Democrat,0,0,0,0,1,0,1
Dennis Jones,,Florida,Republican,0,0,1,0,0,0,1
Dennis Hastert,,,Republican,0,0,1,0,0,0,1
Dennis Algiere,,Rhode Island,Republican,1,0,0,0,0,0,1
Denise Grimsley,,Florida,Republican,1,0,0,0,0,0,1
Democrats Rising,,,Democrat,0,0,0,1,0,0,1
Democraticmoms.Com,,,None,0,0,0,0,0,1,1
Democratic Congressional Leadership,,,Democrat,0,0,0,0,1,0,1
Demand Justice,,,Democrat,0,0,1,0,0,0,1
Delia Lopez,,Oregon,Republican,0,0,0,0,0,1,1
Delia Garza,,Texas,None,0,0,0,0,1,0,1
Delaware Health And Social Services,,,None,0,0,1,0,0,0,1
Defend Arizona,,,None,0,0,0,1,0,0,1
Deepwater Wind,,,None,1,0,0,0,0,0,1
Debra Lehrmann,,,Republican,0,0,0,0,1,0,1
Deborah Kafoury,,Oregon,None,0,1,0,0,0,0,1
Deborah Glick,,,Democrat,0,1,0,0,0,0,1
Deborah Gist,,Rhode Island,State official,0,1,0,0,0,0,1
Debbie Stabenow,,Michigan,Democrat,1,0,0,0,0,0,1
Debbie Riddle,,Texas,Republican,0,0,0,0,1,0,1
Debbie Mayfield,,,Republican,0,1,0,0,0,0,1
Debbie Jackow,,,None,0,0,0,0,1,0,1
Deb Butler,,,Democrat,0,0,0,0,1,0,1
Dean Wright,,Texas,None,0,0,0,0,1,0,1
Dean Obeidallah,,,Democrat,1,0,0,0,0,0,1
Deadspin,,,None,1,0,0,0,0,0,1
Dawn Buckingham,,,Republican,0,0,0,0,1,0,1
David Wyss,,,None,1,0,0,0,0,0,1
David Wu,,Oregon,Democrat,0,1,0,0,0,0,1
David Watts,,Texas,Republican,1,0,0,0,0,0,1
David Toscano,,Virginia,Democrat,1,0,0,0,0,0,1
David Sweetser,,,None,1,0,0,0,0,0,1
David Sutton,,,None,0,1,0,0,0,0,1
David Simmons,,,Republican,0,0,0,0,1,0,1
David Simas,,"Washington, D.C.",Democrat,0,0,0,0,1,0,1
David Silverman,,,Activist,0,0,0,0,1,0,1
David Shuster,,,None,0,0,0,1,0,0,1
David Sewell,,Texas,Republican,0,0,1,0,0,0,1
David Segal,,Rhode Island,Democrat,0,0,0,1,0,0,1
David Rible,,New Jersey,Republican,0,0,1,0,0,0,1
David Raynor,,Georgia,None,0,0,1,0,0,0,1
David Quiroa,,Rhode Island,Newsmaker,1,0,0,0,0,0,1
David Porter,,Texas,Republican,0,0,1,0,0,0,1
David Pepper,,Ohio,Democrat,0,1,0,0,0,0,1
David Menchetti,,,None,1,0,0,0,0,0,1
David Mellon,,Rhode Island,Labor leader,0,0,0,0,1,0,1
David Madland,,,None,0,0,1,0,0,0,1
David Ignatius,,,None,1,0,0,0,0,0,1
David Holmes,,Texas,Democrat,0,0,0,1,0,0,1
David Hallock,,Virginia,Democrat,0,0,0,0,1,0,1
David Furhman,,Georgia,None,0,0,1,0,0,0,1
David Englin,,Virginia,Democrat,0,0,0,0,1,0,1
David Dooley,,Rhode Island,State official,1,0,0,0,0,0,1
David Dipietro,,,Republican,0,0,0,0,1,0,1
David Cullen,,Wisconsin,Democrat,0,0,0,0,0,1,1
David Craig,,,Republican,0,0,1,0,0,0,1
David Cote,,,None,0,1,0,0,0,0,1
David Caton,,Florida,Republican,1,0,0,0,0,0,1
David Canon,,Wisconsin,Newsmaker,0,1,0,0,0,0,1
David Bowen,,Wisconsin,Democrat,0,0,1,0,0,0,1
David Boies,,New York,Democrat,0,0,0,1,0,0,1
David Beckham,,,None,1,0,0,0,0,0,1
Dave Syverson,,,Republican,0,0,1,0,0,0,1
Dave Schwartz,,Virginia,Republican,0,1,0,0,0,0,1
Dave Obey,,Wisconsin,Democrat,0,0,1,0,0,0,1
Dave Muntzel,,,Republican,0,0,1,0,0,0,1
Dave Marsden,,Virginia,Democrat,0,1,0,0,0,0,1
Dave Hunt,,Oregon,Democrat,1,0,0,0,0,0,1
Dave Griffith,,,Republican,0,0,0,0,1,0,1
Dave Claunch,,Texas,None,0,1,0,0,0,0,1
Darrell Steinberg,,,Democrat,1,0,0,0,0,0,1
Danny Porter,,Georgia,None,0,0,1,0,0,0,1
Danielle Nierenberg,,,None,0,1,0,0,0,0,1
Daniel Webster,,Florida,Republican,0,1,0,0,0,0,1
Daniel Senor,,,Republican,0,0,0,0,1,0,1
Daniel Rodriguez,,Texas,Democrat,0,1,0,0,0,0,1
Daniel Riemer,,,Democrat,1,0,0,0,0,0,1
Daniel Mielke,,Wisconsin,Republican,0,0,0,0,1,0,1
Daniel Llanes,,Texas,Democrat,0,0,0,0,1,0,1
Daniel Harrop,,Rhode Island,Republican,0,1,0,0,0,0,1
Daniel Greenfield,,,Republican,0,0,0,0,0,1,1
Daniel Grace,,Pennsylvania,Labor leader,0,0,0,0,1,0,1
Daniel Gade,,,Republican,0,0,0,0,1,0,1
Daniel Biss,,,Democrat,1,0,0,0,0,0,1
Dane Eagle,,,Republican,0,0,0,0,1,0,1
Dane County Republican Party,,,Republican,0,0,0,0,1,0,1
Dan Stein,,"Washington, D.C.",None,0,0,0,0,1,0,1
Dan Sebring,,Wisconsin,Republican,0,1,0,0,0,0,1
Dan Moore,,Ohio,None,1,0,0,0,0,0,1
Dan Micciche,,Texas,None,0,1,0,0,0,0,1
Dan Lungren,,California,Republican,0,0,0,0,1,0,1
Dan Lucas,,Oregon,Republican,0,0,0,1,0,0,1
Dan Hegeman,,,Republican,0,0,1,0,0,0,1
Dan Fanelli,,Florida,Republican,0,0,0,0,0,1,1
Dan Branch,,Texas,Republican,0,0,1,0,0,0,1
Dan Boren,,Oklahoma,Democrat,0,0,1,0,0,0,1
Dan Blue,State Senator,North Carolina,Democrat,0,0,0,0,1,0,1
Dan Becker,,,None,0,0,0,0,1,0,1
Dale Righter,,,Republican,0,0,0,0,1,0,1
Dale Earnhardt Jr.,,,None,1,0,0,0,0,0,1
Dailynewsforamericans.Com,,,None,0,0,0,0,0,1,1
Daily Usa Update,,,None,0,0,0,0,0,1,1
Daily Mail,,,Organization,0,0,0,1,0,0,1
D.A. King,,,None,0,1,0,0,0,0,1
D. Cole Phelps,,,Democrat,0,0,0,1,0,0,1
Cynthia Meyer,,Texas,Republican,1,0,0,0,0,0,1
Curtis Martin,,,None,0,0,0,0,1,0,1
Curtis Foltz,,,None,0,0,1,0,0,0,1
Culinary Workers Union,,Nevada,Labor leader,0,1,0,0,0,0,1
Csc Mediagroup.Usa,,,None,0,0,0,0,0,1,1
Critics Of Water Fluoridation,,,None,0,0,0,0,0,1,1
Crime Victims United Of Oregon,,,None,1,0,0,0,0,0,1
Creigh Deeds,,,Democrat,0,1,0,0,0,0,1
Craig Thompson,,,State official,0,1,0,0,0,0,1
Craig Miller,,Florida,Republican,0,0,0,1,0,0,1
Craig Melvin,,,Journalist,0,0,0,1,0,0,1
Cover Oregon,,Oregon,Organization,0,0,1,0,0,0,1
Courtney Combs,,Ohio,Republican,0,0,0,0,0,1,1
Countynewsroom.Info,,,None,0,0,0,0,1,0,1
County Line,,,None,0,0,1,0,0,0,1
Council For The National Interest,,,None,0,1,0,0,0,0,1
Cornell William Brooks,,,Democrat,0,1,0,0,0,0,1
Cornel West,,,None,1,0,0,0,0,0,1
Corn Commentary,,,Organization,0,0,0,0,1,0,1
Cormick Lynch,,Rhode Island,Republican,0,0,1,0,0,0,1
Corey Hebert,,,Democrat,0,1,0,0,0,0,1
Cora Faith Walker,,,Democrat,0,1,0,0,0,0,1
Consumers For Smart Solar,,,Organization,0,0,0,0,1,0,1
Constitutional Rights Pac,,,Organization,0,0,0,0,1,0,1
Conservative Voters Of Texas Pac,,,None,0,0,0,0,0,1,1
Conservative Tribune,,,None,0,0,0,1,0,0,1
Conservative Stories,,,None,0,0,0,0,0,1,1
Conservative Republicans Of Texas Pac,,,Republican,0,0,0,1,0,0,1
Conservative Renewal Pac,,,Republican,0,0,0,1,0,0,1
Conservative Beaver,,,Newsmaker,0,0,0,0,0,1,1
Conor Lamb,,,Democrat,0,1,0,0,0,0,1
Connie Stokes,,,Democrat,0,0,1,0,0,0,1
Concernedcitizen4U,,,None,0,0,0,0,1,0,1
Concerned Women For America,,,None,0,0,1,0,0,0,1
Concerned Taxpayers Of America,,,Republican,0,0,1,0,0,0,1
Competitive Enterprise Institute,,,None,1,0,0,0,0,0,1
Common Sense Now,,Florida,None,0,0,1,0,0,0,1
Common Sense News,,,Activist,0,0,0,0,0,1,1
Common Sense Kids Action,,,None,0,1,0,0,0,0,1
Common Cause,,,Organization,0,1,0,0,0,0,1
Color Of Change,,,Activist,0,0,0,1,0,0,1
College Presidents,,,None,0,1,0,0,0,0,1
Colleen Deacon,,New York,Democrat,1,0,0,0,0,0,1
Colleen Conley,,Rhode Island,Tea Party member,0,0,1,0,0,0,1
Colion Noir,,,Activist,0,0,0,0,1,0,1
Colin Schmitt,,,Republican,0,0,0,1,0,0,1
Colin Kaepernick,,,None,0,0,0,0,1,0,1
Colin Jost,,,None,0,1,0,0,0,0,1
Cocks Not Glocks,,Texas,None,0,0,1,0,0,0,1
Coast Guard,,,None,0,1,0,0,0,0,1
Coalition To Stop The Proposed Tax Hike Amendment,,,None,0,0,1,0,0,0,1
Coalition To Stop Gun Violence,,,Organization,0,0,0,0,0,1,1
Coalition To Save Memorial Hospital Birthing Center,,,None,0,0,0,0,1,0,1
Coalition To Bring Jobs To R.I.,,,Organization,0,0,0,1,0,0,1
Coalition For The Homeless,,,None,0,1,0,0,0,0,1
Coalition For Fair Budget Priorities,,,Organization,1,0,0,0,0,0,1
Cnsnews,,,Organization,0,0,0,0,1,0,1
Cnnews3.Com,,,None,0,0,0,0,0,1,1
Cnn,,,None,0,0,0,1,0,0,1
Clint Eastwood,,,Newsmaker,0,0,1,0,0,0,1
Clif Smart,,,None,1,0,0,0,0,0,1
Clearpath Action Fund,,,Republican,0,0,0,1,0,0,1
Clean Water Portland,,,Organization,0,0,0,0,1,0,1
Clean Virginia,,,Organization,0,0,1,0,0,0,1
Clayton County Schools,,Georgia,None,1,0,0,0,0,0,1
Clayton County Government,,Georgia,None,0,0,0,0,1,0,1
Clay Dafoe,,,None,0,0,0,0,1,0,1
Clay Cox,,,Republican,0,0,0,1,0,0,1
Clarence Thomas,,Georgia,None,1,0,0,0,0,0,1
Claire Suggs,,Georgia,None,0,1,0,0,0,0,1
Clackamas County Democrats,,,Democrat,0,0,0,0,1,0,1
Citizens United,,,Republican,0,0,0,1,0,0,1
Citizens To Protect Transportation Funding,,,Organization,0,0,0,0,1,0,1
Citizens For The Republic,,,None,1,0,0,0,0,0,1
Citizens For Michael Mcauliffe And House Republican Organization,,,Republican,0,0,0,1,0,0,1
Citizens For Fairness,,,None,0,0,0,1,0,0,1
Citizens For A Strong America,,,None,0,0,0,0,0,1,1
Citizens Against Rail Taxes,,Tex,None,0,0,0,0,1,0,1
Citizen Action Of Wisconsin,,,Organization,0,0,0,0,1,0,1
Cindi Castilla,,,None,0,0,0,1,0,0,1
Chuck Woolery,,,Republican,0,0,0,0,0,1,1
Chuck Riley,,Oregon,Democrat,0,0,0,0,1,0,1
Chuck Norris,,Texas,Republican,0,0,0,1,0,0,1
Chuck Mcgrady,,,Republican,0,0,1,0,0,0,1
Chuck Fleischmann,,Tennessee,Republican,0,0,0,0,1,0,1
Chuck Donovan,,Georgia,Libertarian,0,0,1,0,0,0,1
Christy Harrison,,,Columnist,0,0,0,1,0,0,1
Christopher Peace,,Virginia,Republican,0,0,0,0,1,0,1
Christopher Monckton,,United Kingdom,None,0,0,0,0,0,1,1
Christopher Little,,,Moderate Party,0,0,0,0,1,0,1
Christopher Coyne,,,None,0,0,0,1,0,0,1
Christine Sinicki,,Wisconsin,Democrat,0,0,0,0,1,0,1
Christine Radogno,,Illinois,Republican,0,1,0,0,0,0,1
Christine Quinn,,,Democrat,0,0,0,1,0,0,1
Christine Lagarde,,,None,0,0,1,0,0,0,1
Christine Hallquist,,,Democrat,0,0,0,0,1,0,1
Christine Gilbert,,Texas,Democrat,0,0,0,0,1,0,1
Christina Romer,,,Democrat,1,0,0,0,0,0,1
Christina Blackcloud,,,Democrat,0,1,0,0,0,0,1
Christi Craddick,,,Republican,0,1,0,0,0,0,1
Chris Thomas,,Tennessee,Republican,0,0,1,0,0,0,1
Chris Telfer,,Oregon,Republican,0,0,0,0,0,1,1
Chris Stirewalt,,,None,0,0,1,0,0,0,1
Chris Smith,,,Republican,0,1,0,0,0,0,1
Chris Salcedo,,,Talk show host,0,0,0,0,1,0,1
Chris Ruddy,,,Republican,0,0,1,0,0,0,1
Chris Riley,,Georgia,Republican,1,0,0,0,0,0,1
Chris Moews,,Wisconsin,Democrat,0,0,0,1,0,0,1
Chris Mccalla,,,Organization,0,0,0,0,1,0,1
Chris Malone,,North Carolina,Republican,0,0,0,0,0,1,1
Chris Latvala,,Florida,Republican,1,0,0,0,0,0,1
Chris Hani Baragwanath Hospital,,,None,0,0,1,0,0,0,1
Chris Gregoire,,Washington,Democrat,0,0,1,0,0,0,1
Chris Garrett And Bill Kennemer,,,None,0,0,0,0,1,0,1
Chris Dorworth,,Florida,Republican,0,0,1,0,0,0,1
Chris Danou,,,Democrat,0,1,0,0,0,0,1
Chris Cuomo,,,Journalist,0,0,0,0,1,0,1
Chris Cummiskey,,Georgia,None,1,0,0,0,0,0,1
Chris Cox,,,Republican,0,0,0,0,1,0,1
Chris Clark,,Georgia,None,0,0,0,1,0,0,1
Chris Chocola,,Indiana,Republican,0,0,1,0,0,0,1
Chris Carpenter,,Georgia,Democrat,0,0,0,0,0,1,1
Chris Bowers,,,None,0,0,0,0,1,0,1
Chris Bollwage,,,Democrat,0,0,0,0,1,0,1
Choose: New Jersey,,,None,1,0,0,0,0,0,1
Children At Risk,,,Organization,0,1,0,0,0,0,1
Chicago Public Schools,,,None,0,1,0,0,0,0,1
Cheryl Grossman,,Ohio,Republican,0,0,0,1,0,0,1
Chelsea Handler,,,None,0,0,0,0,1,0,1
Chele Farley,,,Republican,0,0,1,0,0,0,1
Chaz Beasley,,,Democrat,0,1,0,0,0,0,1
Charlie Smith,,Georgia,Democrat,0,0,1,0,0,0,1
Charlie Flemming,,Georgia,None,0,0,0,1,0,0,1
Charlie Bethel,,Georgia,Republican,0,0,1,0,0,0,1
Charlie Baird,,Texas,Democrat,0,0,0,1,0,0,1
Charley Wilkison,,Texas,None,1,0,0,0,0,0,1
Charley English,,Georgia,None,0,0,0,0,1,0,1
Charles Reed,,Texas,Democrat,0,0,0,0,1,0,1
Charles Ramsey,,,None,0,1,0,0,0,0,1
